case,parameter,factor,event_time_s,event_time_h,center_temperature_C,surface_temperature_C,center_moisture,surface_moisture,maximum_moisture,steps
short,D,0.8,,,32.19172103089629,35.41503620056231,2.5499922537198665,1.583676506568558,2.5499922747064403,
short,D,1.0,,,32.19479593292882,35.416490364535456,2.5499277455948604,1.6489551582472868,2.5499278740740117,
short,D,1.2,,,32.197452076534134,35.41723234245596,2.549678917881973,1.6998726842845908,2.54967932288423,
short,h,0.8,,,31.66299998911012,34.57759625731185,2.5499347078927816,1.6404996188375378,2.549934825774325,
short,h,1.0,,,32.19479593292882,35.416490364535456,2.5499277455948604,1.6489551582472868,2.5499278740740117,
short,h,1.2,,,32.63992973426863,36.0937545745588,2.5499211736616663,1.6557885827122707,2.549921311959307,
short,hm,0.8,,,32.18075849484908,35.3855166543574,2.5499406009333074,1.7849195810894978,2.5499407068362565,
short,hm,1.0,,,32.19479593292882,35.416490364535456,2.5499277455948604,1.6489551582472868,2.5499278740740117,
short,hm,1.2,,,32.20766205405836,35.44509541765762,2.549915580933892,1.528689642160913,2.549915730660824,
