case,parameter,factor,event_time_s,event_time_h,center_temperature_C,surface_temperature_C,center_moisture,surface_moisture,maximum_moisture,steps
q2q3,D,0.8,253104.84375,70.30690104166666,50.000000000000206,49.9999999999956,0.14998868028290285,0.05212674698485126,0.14999999038965162,4219
q2q3,D,1.0,207135.1171875,57.537532552083334,49.999999999999424,49.999999999999,0.14998867943026034,0.0526586349209235,0.14999998841915482,3453
q2q3,D,1.2,176779.6875,49.10546875,49.99999999999762,49.99999999999762,0.14998868535213883,0.053190693835178014,0.14999999301294453,2947
q2q3,h,0.8,207205.72265625,57.55714518229167,50.00000000000279,50.000000000001364,0.14998867895952445,0.05265863522969829,0.14999998794835176,3454
q2q3,h,1.0,207135.1171875,57.537532552083334,49.999999999999424,49.999999999999,0.14998867943026034,0.0526586349209235,0.14999998841915482,3453
q2q3,h,1.2,207088.41796875,57.524560546875,49.999999999999766,49.99999999999382,0.14998868934546516,0.05265863594647918,0.14999999833566457,3452
q2q3,hm,0.8,213237.1875,59.23255208333333,50.00000000000144,50.00000000000158,0.14998869178016885,0.05332374793783356,0.14999999905664893,3554
q2q3,hm,1.0,207135.1171875,57.537532552083334,49.999999999999424,49.999999999999,0.14998867943026034,0.0526586349209235,0.14999998841915482,3453
q2q3,hm,1.2,203397.59765625,56.499332682291666,50.000000000001414,50.00000000000669,0.14998868431368445,0.05221538379141289,0.14999999425967778,3390
